US97717W1255;AuM Fund;AuM Fund Date;AuM Share Class;AuM Share Class Date;Bid NAV;Bid NAV Date;Ask NAV;Ask NAV Date;Valuation NAV;Valuation NAV Date;Transaction NAV;Transaction NAV Date;NoS Fund Date;NoS Share Class;NoS Share Class Date;NoS Fund;FE Bid;FE Bid Date;FE Offer;FE Offer Date;FE NAV;FE NAV Date;FE Generic NAV;FE Generic NAV Date;FE AUM Fund Date;FE AUM Share Class;FE AUM Share Class Date;FE NOS Fund;FE NOS Fund Date;FE NOS Share Class;FE NOS Share Class Date;Citi Code;Fund Code;Dynamic Currency;FE AUM Fund;FE Mid;FE Mid Date;FE Total Return NAV;FE Total Return NAV Date;Amount of Shares Redeemed Fund;Amount of Shares Redeemed Share Class;Amount of Shares Subscribed Fund;Amount of Shares Subscribed Share Class;Number of Shares Redeemed Fund;Number of Shares Redeemed Share Class;Number of Shares Subscribed Fund;Number of Shares Subscribed Share Class
AT0000607254;562850720.32;31/05/2024;46991885.84;31/05/2024;;;;;51.18;31/05/2024;;;;91.816.893.000.000;31/05/2024;;;;;;51.18;31/05/2024;51.18;31/05/2024;31/05/2024;46991885.84;31/05/2024;;;91.816.893.000.000;31/05/2024;ABV7;ABFU3;USD;562850720.32;51.18;31/05/2024;51.18;31/05/2024;;;;;;;;
;331800000.00;30/05/2024;;;;;;;12.73;30/05/2024;;;;;;;;;;;12.73;30/05/2024;12.73;30/05/2024;30/05/2024;;;;;;;ABV7A;AUF3BU;USD;331800000.00;12.73;30/05/2024;12.771;30/05/2024;;;;;;;;
;562850720.32;31/05/2024;39827370.98;31/05/2024;;;;;47.09;31/05/2024;;;;91.816.893.000.000;31/05/2024;;;;;;47.09;31/05/2024;47.09;31/05/2024;31/05/2024;39827370.98;31/05/2024;;;91.816.893.000.000;31/05/2024;ABV8;ABFU3;EUR;562850720.32;47.09;31/05/2024;47.09;31/05/2024;;;;;;;;
;562850720.32;31/05/2024;16490355.94;31/05/2024;;;;;58.69;31/05/2024;;;;30.502.509.000.000;31/05/2024;;;;;;58.69;31/05/2024;58.69;31/05/2024;31/05/2024;16490355.94;31/05/2024;;;30.502.509.000.000;31/05/2024;ABV9;ABFU3;EUR;562850720.32;58.69;31/05/2024;58.69;31/05/2024;;;;;;;;
;3190000000.00;30/05/2024;;;;;;;16.37;30/05/2024;;;;;;;;;;;16.37;30/05/2024;16.37;30/05/2024;30/05/2024;;;;;;;ABVCX;AZFHNZ;USD;3190000000.00;16.37;30/05/2024;17.261;30/05/2024;;;;;;;;
;1610000000.00;30/05/2024;;;;;;;14.47;30/05/2024;;;;;;;;;;;14.47;30/05/2024;14.47;30/05/2024;30/05/2024;;;;;;;ABVEW;AAFJSU;USD;1610000000.00;14.47;30/05/2024;14.47;30/05/2024;;;;;;;;
;6400000000.00;30/04/2024;;;;;;;19.31;30/05/2024;;;;;;;;;;;19.31;30/05/2024;19.31;30/05/2024;30/04/2024;;;;;;;ABVFB;AAF3ML;USD;6400000000.00;19.31;30/05/2024;195.062;30/05/2024;;;;;;;;
;38347622.18;29/05/2024;38347622.18;29/05/2024;;;;;332.096;29/05/2024;;;;115.471.407.310.000;29/05/2024;;;;;;332.096;29/05/2024;332.096;29/05/2024;29/05/2024;38347622.18;29/05/2024;;;115.471.407.310.000;29/05/2024;ABVFH;RBFAO;EUR;38347622.18;332.096;29/05/2024;332.096;29/05/2024;;;;;;;;
;155220136.03;30/05/2024;155219933.33;30/05/2024;;;;;232.613;30/05/2024;;;;667.288.300.000.000;30/05/2024;;;;;;232.613;30/05/2024;232.613;30/05/2024;30/05/2024;155219933.33;30/05/2024;;;667.288.300.000.000;30/05/2024;ABVKD;ADFRIR;EUR;155220136.03;232.613;30/05/2024;25.98;30/05/2024;;;;;;;;
;210200000.00;30/04/2024;;;;;;;7.76;30/05/2024;;;;;;;;;;;7.76;30/05/2024;7.76;30/05/2024;30/04/2024;;;;;;;ABVKK;AVFR98;USD;210200000.00;7.76;30/05/2024;78.371;30/05/2024;;;;;;;;
