ISIN,data,valor
990000082719,2024-06-24,22.18
990000004939,2024-06-24,6.4
990000082669,2024-06-24,24.87
990000084329,2024-06-25,38.31
990000082659,2024-06-25,18.231
990000002459,2024-06-25,249.1
990000084349,2024-06-25,43.73
990000082669,2024-06-25,24.82
990000084289,2024-06-25,23.326
990000082689,2024-06-25,27.9
990000084309,2024-06-25,30.72
990000082719,2024-06-25,22.16
990000079139,2024-06-25,56.87
990000004939,2024-06-25,6.42
990000015719,2024-06-25,44.02
990000082689,2024-06-26,28.06
990000082719,2024-06-26,22.2
990000084349,2024-06-26,43.98
990000084329,2024-06-26,38.47
990000082659,2024-06-26,18.233
990000084289,2024-06-26,23.328
990000004939,2024-06-26,6.41
990000079139,2024-06-26,57.01
990000002459,2024-06-26,247.81
990000084309,2024-06-26,30.77
990000082669,2024-06-26,24.92
990000015719,2024-06-26,44.0
990000084349,2024-06-27,44.0
990000084309,2024-06-27,30.71
990000082689,2024-06-27,28.07
990000082719,2024-06-27,22.15
990000079139,2024-06-27,56.7
